round,average_global_reward,elapsed_time
0,94.0,0.008541584014892578
1,96.0,0.019641399383544922
2,96.0,0.03174614906311035
3,96.0,0.0392606258392334
4,96.0,0.05180239677429199
5,96.0,0.0636599063873291
6,96.0,0.07240819931030273
7,96.0,0.08251070976257324
8,96.0,0.09456014633178711
9,96.0,0.10514068603515625
10,96.0,0.11593294143676758
11,96.0,0.1265554428100586
12,96.0,0.13675260543823242
13,96.0,0.14567065238952637
14,96.0,0.1598498821258545
15,96.0,0.1689591407775879
16,96.0,0.17959976196289062
17,96.0,0.1919264793395996
18,96.0,0.20511913299560547
19,96.0,0.21658945083618164
20,96.0,0.22768259048461914
21,96.0,0.23873615264892578
22,96.0,0.2502903938293457
23,96.0,0.26462388038635254
24,96.0,0.27388834953308105
25,96.0,0.28244709968566895
26,96.0,0.29048967361450195
27,96.0,0.3019106388092041
28,96.0,0.31316304206848145
29,96.0,0.32444214820861816
30,96.0,0.33678531646728516
31,96.0,0.346055269241333
32,96.0,0.36022019386291504
33,96.0,0.370758056640625
34,96.0,0.3803703784942627
35,96.0,0.3934600353240967
36,96.0,0.4019899368286133
37,96.0,0.4125840663909912
38,96.0,0.42513203620910645
39,96.0,0.4347724914550781
40,96.0,0.44396328926086426
41,96.0,0.4528923034667969
42,96.0,0.46294665336608887
43,96.0,0.4735867977142334
44,96.0,0.48441219329833984
45,96.0,0.49573826789855957
46,96.0,0.5027673244476318
47,96.0,0.5155401229858398
48,96.0,0.5270786285400391
49,96.0,0.5361344814300537
50,96.0,0.5452518463134766
51,96.0,0.5557982921600342
52,96.0,0.5639755725860596
53,96.0,0.5729203224182129
54,96.0,0.5821127891540527
55,96.0,0.5911097526550293
56,96.0,0.6011676788330078
57,96.0,0.6082170009613037
58,96.0,0.618394136428833
59,96.0,0.6281793117523193
60,96.0,0.6376821994781494
61,96.0,0.6467249393463135
62,96.0,0.6603913307189941
63,96.0,0.6687171459197998
64,96.0,0.6783037185668945
65,96.0,0.6898350715637207
66,96.0,0.7007260322570801
67,96.0,0.7077651023864746
68,96.0,0.7147924900054932
69,96.0,0.7239909172058105
70,96.0,0.7335472106933594
71,96.0,0.7411034107208252
72,96.0,0.7494189739227295
73,96.0,0.7584512233734131
74,96.0,0.7664794921875
75,96.0,0.7750544548034668
76,96.0,0.7846136093139648
77,96.0,0.792144775390625
78,96.0,0.7976648807525635
79,96.0,0.8060302734375
80,96.0,0.8125622272491455
81,96.0,0.8211226463317871
82,96.0,0.829660177230835
83,96.0,0.8369550704956055
84,96.0,0.8427255153656006
85,96.0,0.8500523567199707
86,96.0,0.8555710315704346
87,96.0,0.8615703582763672
88,96.0,0.8681070804595947
89,96.0,0.8766534328460693
90,96.0,0.8836915493011475
91,96.0,0.891749382019043
92,96.0,0.8972597122192383
93,96.0,0.9033310413360596
94,96.0,0.9109959602355957
95,96.0,0.9201803207397461
96,96.0,0.9267499446868896
97,96.0,0.9353265762329102
98,96.0,0.9428524971008301
99,96.0,0.9500317573547363
100,96.0,0.9565503597259521
101,96.0,0.9640967845916748
102,96.0,0.9706027507781982
103,96.0,0.976646900177002
104,96.0,0.982224702835083
105,96.0,0.9882183074951172
106,96.0,0.9947757720947266
107,96.0,1.0023467540740967
108,96.0,1.0083413124084473
109,96.0,1.0540790557861328
110,96.0,1.0595777034759521
111,96.0,1.067617654800415
112,96.0,1.0741379261016846
113,96.0,1.079164743423462
114,96.0,1.0862107276916504
115,96.0,1.095310926437378
116,96.0,1.1011433601379395
117,96.0,1.1072242259979248
118,96.0,1.1142618656158447
119,96.0,1.1197879314422607
120,96.0,1.1488592624664307
121,96.0,1.1549365520477295
122,96.0,1.1599299907684326
123,96.0,1.166477918624878
124,96.0,1.1730048656463623
125,96.0,1.1795382499694824
126,96.0,1.1855902671813965
127,96.0,1.192108154296875
128,96.0,1.1978754997253418
129,96.0,1.203519344329834
130,96.0,1.2101998329162598
131,96.0,1.2157223224639893
132,96.0,1.2225136756896973
133,96.0,1.228031873703003
134,96.0,1.2325420379638672
135,96.0,1.2376906871795654
136,96.0,1.24220609664917
137,96.0,1.247734785079956
138,96.0,1.253901481628418
139,96.0,1.2594151496887207
140,96.0,1.2649412155151367
141,96.0,1.2715814113616943
142,96.0,1.2782511711120605
143,96.0,1.2833733558654785
144,96.0,1.2883806228637695
145,96.0,1.294588327407837
146,96.0,1.300159215927124
147,96.0,1.3057622909545898
148,96.0,1.3102681636810303
149,96.0,1.3148396015167236
150,96.0,1.319366455078125
151,96.0,1.3249719142913818
152,96.0,1.329010248184204
153,96.0,1.3345999717712402
154,96.0,1.3401105403900146
155,96.0,1.3441176414489746
156,96.0,1.3487083911895752
157,96.0,1.3553450107574463
158,96.0,1.3593406677246094
159,96.0,1.364396572113037
160,96.0,1.369236707687378
161,96.0,1.37424635887146
162,96.0,1.3793303966522217
163,96.0,1.386458158493042
164,96.0,1.3911614418029785
165,96.0,1.3957479000091553
166,96.0,1.4002745151519775
167,96.0,1.4068009853363037
168,96.0,1.4120635986328125
169,96.0,1.4170522689819336
170,96.0,1.4235854148864746
171,96.0,1.4295415878295898
172,96.0,1.4355576038360596
173,96.0,1.4385571479797363
174,96.0,1.4430797100067139
175,96.0,1.4490818977355957
176,96.0,1.4545981884002686
177,96.0,1.4596076011657715
178,96.0,1.4642078876495361
179,96.0,1.468207836151123
180,96.0,1.472733736038208
181,96.0,1.478254795074463
182,96.0,1.4840545654296875
183,96.0,1.4905457496643066
184,96.0,1.4960887432098389
185,96.0,1.5006434917449951
186,96.0,1.5051801204681396
187,96.0,1.5096890926361084
188,96.0,1.5152230262756348
189,96.0,1.5185046195983887
190,96.0,1.5230491161346436
191,96.0,1.5275893211364746
192,96.0,1.533705234527588
193,96.0,1.5372254848480225
194,96.0,1.5407724380493164
195,96.0,1.546295404434204
196,96.0,1.551339864730835
197,96.0,1.5564007759094238
198,96.0,1.5609221458435059
199,96.0,1.566446304321289
200,96.0,1.5721871852874756
201,96.0,1.5777232646942139
202,96.0,1.5828418731689453
203,96.0,1.5879075527191162
204,96.0,1.593442440032959
205,96.0,1.598426342010498
206,96.0,1.603963851928711
207,96.0,1.6084814071655273
208,96.0,1.6140198707580566
209,96.0,1.6190450191497803
210,96.0,1.6250874996185303
211,96.0,1.6286303997039795
212,96.0,1.6341428756713867
213,96.0,1.6417138576507568
214,96.0,1.6487650871276855
215,96.0,1.6534106731414795
216,96.0,1.657426118850708
217,96.0,1.661433458328247
218,96.0,1.6663720607757568
219,96.0,1.6704001426696777
220,96.0,1.6759514808654785
221,96.0,1.6799616813659668
222,96.0,1.6842882633209229
223,96.0,1.6868140697479248
224,96.0,1.6913387775421143
225,96.0,1.695979118347168
226,96.0,1.7001452445983887
227,96.0,1.704460859298706
228,96.0,1.709043264389038
229,96.0,1.7130544185638428
230,96.0,1.717066764831543
231,96.0,1.7220959663391113
232,96.0,1.726621389389038
233,96.0,1.7322063446044922
234,96.0,1.7372181415557861
235,96.0,1.7447683811187744
236,96.0,1.7492647171020508
237,96.0,1.755800724029541
238,96.0,1.7618870735168457
239,96.0,1.7664000988006592
240,96.0,1.7714548110961914
241,96.0,1.7779948711395264
242,96.0,1.7830219268798828
243,96.0,1.7875382900238037
244,96.0,1.792069911956787
245,96.0,1.7981581687927246
246,96.0,1.8037428855895996
247,96.0,1.8077504634857178
248,96.0,1.8142986297607422
249,96.0,1.820343255996704
250,96.0,1.8268907070159912
251,96.0,1.8334181308746338
252,96.0,1.8408787250518799
253,96.0,1.846435546875
254,96.0,1.8504424095153809
255,96.0,1.8553812503814697
256,96.0,1.860943078994751
257,96.0,1.8654570579528809
258,96.0,1.8691294193267822
259,96.0,1.8736557960510254
260,96.0,1.877690315246582
261,96.0,1.8816993236541748
262,96.0,1.8880295753479004
263,96.0,1.8932063579559326
264,96.0,1.897214412689209
265,96.0,1.9027447700500488
266,96.0,1.9057445526123047
267,96.0,1.9103209972381592
268,96.0,1.9143126010894775
269,96.0,1.9178407192230225
270,96.0,1.9234755039215088
271,96.0,1.9279956817626953
272,96.0,1.9330558776855469
273,96.0,1.9366095066070557
274,96.0,1.9396071434020996
275,96.0,1.9436719417572021
276,96.0,1.94869065284729
277,96.0,1.9527232646942139
278,96.0,1.955728530883789
279,96.0,1.961766242980957
280,96.0,1.9663236141204834
281,96.0,1.9725282192230225
282,96.0,1.9760758876800537
283,96.0,1.9807634353637695
284,96.0,1.9851014614105225
285,96.0,1.9908173084259033
286,96.0,1.9963533878326416
287,96.0,1.9993677139282227
288,96.0,2.003554582595825
289,96.0,2.0070807933807373
290,96.0,2.0116236209869385
291,96.0,2.0166685581207275
292,96.0,2.0206756591796875
293,96.0,2.0252058506011963
294,96.0,2.0297493934631348
295,96.0,2.032741069793701
296,96.0,2.0357491970062256
297,96.0,2.039780855178833
298,96.0,2.043300151824951
299,96.0,2.047835111618042
